Player,Pos,Age,Exp,PPG,RPG,APG,FA_Type
Malachi Smith,G,26,1,8.3,3.4,3.3,rfa
Nick Smith Jr.,G,22,3,6.2,0.8,1.0,ufa
Jeremy Sochan,F,23,4,3.6,2.4,0.9,ufa
Pat Spencer,G,29,3,7.2,2.4,3.5,rfa
Jaesean Tate,F,30,6,2.8,1.6,0.5,ufa
Garrett Temple,G-F,40,16,0.8,0.4,0.4,ufa
Dalen Terry,F,23,4,3.7,1.8,1.4,ufa
Matisse Thybulle,G-F,29,7,5.8,2.0,0.9,ufa
Xavier Tillman,F,27,6,1.5,1.4,0.4,ufa
Drew Timme,F,25,2,3.4,1.2,0.9,rfa
John Tonje,G,25,1,2.5,1.0,0.3,rfa
Gary Trent Jr.,G,27,8,8.1,1.0,1.2,ufa
Fred VanVleet,G,32,9,0.0,0.0,0.0,ufa
Gabe Vincent,G,30,7,4.4,1.0,1.4,ufa
Nikola Vucevic,C,35,15,15.1,8.4,3.3,ufa
Dean Wade,F-C,29,7,5.8,4.2,1.5,ufa
Moritz Wagner,F-C,29,8,6.9,3.2,0.8,ufa
Keaton Wallace,G,27,2,3.5,1.1,1.8,rfa
Jordan Walsh,G,22,3,5.4,4.0,0.8,rfa
TyTy Washington Jr.,G,24,4,1.3,0.4,1.1,ufa
Lindy Waters III,F,28,5,2.4,0.7,0.5,ufa
Trendon Watford,G-F,25,5,6.5,3.3,2.5,ufa
Jamir Watkins,F,24,1,7.4,3.9,1.3,rfa
Peyton Watson,G,23,4,14.6,4.9,2.1,rfa
Blake Wesley,G,23,4,4.8,1.3,2.0,ufa
Russell Westbrook,G,37,18,15.2,5.4,6.7,ufa
Coby White,G,26,7,17.4,3.4,4.0,ufa
Andrew Wiggins,F,31,12,15.4,4.8,2.7,ufa
Ziaire Williams,F,24,5,10.2,2.4,1.1,ufa
Amari Williams,F-C,24,1,1.4,1.8,0.5,rfa
Nate Williams,G,27,4,8.0,2.1,1.0,rfa
Brandon Williams,G,26,4,13.0,2.9,3.9,ufa
Kenrich Williams,G-F,31,8,6.5,3.3,1.4,ufa
Mark Williams,C,24,4,11.7,8.0,1.0,rfa
Robert Williams III,C-F,28,8,6.7,7.0,1.0,ufa
Jalen Wilson,F,25,3,6.4,2.1,0.9,rfa
Trae Young,G,27,8,17.9,2.0,8.0,ufa
Jahmir Young,G,25,2,1.8,0.3,0.6,rfa
